FID,Shape ,AREA,lake_id,Jurisdicti,PERIM,X_CENTER,Y_CENTER,HA,Shape_Leng,Shape_Area,Lat,Lon
195,Polygon,1025.266,72198,YOSE,137.949269,262709.8701,4220494.516,0.102527,137.949269,1025.274234,38.10112585,-119.7061817
196,Polygon,49309.85,70558,YOSE,1281.762636,265021.9786,4220366.116,4.93136,1281.762636,49313.58685,38.10057404,-119.6797976
197,Polygon,345.7578,71328,YOSE,70.771072,267885.3117,4220495.817,0.034576,70.771072,345.760889,38.10248173,-119.6472174
198,Polygon,429.8203,71501,YOSE,78.979305,267733.7178,4220483.649,0.042982,78.979305,429.824481,38.10233323,-119.6489406
199,Polygon,7216.133,70120,YOSE,471.633805,262758.6476,4220378.858,0.721621,471.633805,7216.207242,38.10009743,-119.7055875
200,Polygon,1182.992,72297,YOSE,137.94318,273508.3944,4220397.081,0.118301,137.94318,1183.010781,38.10301968,-119.5831169
201,Polygon,584.6094,71757,YOSE,93.782867,267503.5984,4220391.59,0.058462,93.782867,584.617461,38.10144523,-119.6515325
202,Polygon,316.875,71275,YOSE,75.727415,282426.869,4220342.905,0.031689,75.727415,316.884855,38.1047234,-119.4814757
203,Polygon,283.6875,71195,YOSE,62.458855,268689.5992,4220316.238,0.028369,62.458855,283.692542,38.10107118,-119.6379955
204,Polygon,721.0313,71930,YOSE,109.545876,268766.7596,4220271.149,0.072104,109.545876,721.04125,38.10068499,-119.6371017
205,Polygon,451.8438,71531,YOSE,89.443994,267823.9887,4220272.555,0.045185,89.443994,451.849144,38.10045592,-119.6478435
206,Polygon,265.8438,71156,YOSE,60.302354,268661.606,4220267.798,0.026585,60.302354,265.847034,38.1006279,-119.6382987
207,Polygon,1158.891,72284,YOSE,162.045878,264949.7996,4220246.209,0.11589,162.045878,1158.903023,38.09947576,-119.6805805
208,Polygon,204.6172,71071,YOSE,54.305231,267654.3077,4220231.939,0.020462,54.305231,204.619264,38.10004664,-119.6497635
